person_id,gender,age,mailing_locality,is_in_france,year_joined,year_last_membership,type_cfai_membership,is_society_member,duration_program_years,duration_membership_years,code_group_membership_change,is_on_professional_leave,employment_status,employer_type,seniority,churned
9221378,Male,30.0,Europe excl France,False,2024,2025,Regular,True,5,2,2,False,Employed,Commercial Bank,Mid-Level,False
9222462,Male,27.0,France,True,2023,2025,Regular,True,4,3,0,False,Employed,Brokerage,Early/Mid-Level,False
9239592,Male,26.0,France,True,2023,2023,Regular,False,4,1,3,False,Employed,Private Wealth Management Firm/Family Office/Trusts,Mid-Level,True
9247827,Male,33.0,France,True,2023,2025,Regular,True,4,3,0,False,Employed,Commercial Bank,Senior-Level,False
9250156,Male,31.0,France,True,2023,2025,Regular,True,3,3,0,False,Employed,Insurance,Early/Mid-Level,False
9257582,Female,28.0,France,True,2023,2025,Regular,True,4,3,0,False,Employed,Asset Management/Investment Firm,Early/Mid-Level,False
9264885,Female,27.0,France,True,2023,2025,Regular,True,4,3,0,False,Employed,Insurance,Mid-Level,False
8709202,Male,37.0,France,True,2020,2025,Regular,True,2,6,0,False,Employed,Private Wealth Management Firm/Family Office/Trusts,Executive-Level,False
9270716,Male,28.0,France,True,2023,2025,Regular,True,3,3,0,False,Employed,Consulting Firm,Entry-Level,False
9274513,Male,29.0,France,True,2023,2025,Regular,True,4,3,0,False,Employed,Asset Management/Investment Firm,Senior-Level,False
9281501,Female,27.0,France,True,2024,2025,Regular,True,4,2,0,False,Employed,Other (please specify),Early/Mid-Level,False
9286488,Male,32.0,France,True,2024,2025,Regular,True,5,2,0,False,Employed,Asset Management/Investment Firm,Mid-Level,False
9292325,Male,27.0,France,True,2024,2024,Regular,False,4,1,1,False,Employed,Asset Management/Investment Firm,Executive-Level,True
9294243,Male,29.0,France,True,2023,2025,Regular,True,4,3,0,False,Employed,Private Wealth Management Firm/Family Office/Trusts,Senior-Level,False
9303180,Male,55.0,France,True,2019,2020,Non-member,False,0,2,0,False,Employed,Asset Management/Investment Firm,Senior-Level,True
9303505,Male,30.0,France,True,2023,2025,Regular,True,4,3,0,False,Employed,Commercial Bank,Early/Mid-Level,False
9312568,Male,27.0,France,True,2023,2024,Regular,False,4,2,1,False,Employed,Asset Management/Investment Firm,Entry-Level,True
9343646,Male,35.0,France,True,2023,2024,Regular,True,3,2,0,False,Employed,Consulting Firm,Early/Mid-Level,True
9347410,Male,28.0,France,True,2023,2025,Regular,True,4,3,0,False,Employed,Credit Rating Agency/Firm/Bureau,Early/Mid-Level,False
9359377,Male,36.0,France,True,2022,2024,Regular,True,3,3,0,False,Employed,Commercial Bank,Mid-Level,True
9360585,Male,28.0,France,True,2023,2025,Regular,True,3,3,0,False,Employed,Information Technology or Software,Mid-Level,False
9361577,Male,43.0,France,True,2023,2025,Regular,True,3,3,0,False,Employed,Asset Management/Investment Firm,Senior-Level,False
9372170,Male,29.0,France,True,2024,2025,Regular,True,3,2,0,False,Employed,Insurance,Early/Mid-Level,False
9374228,Male,31.0,France,True,2024,2024,Regular,True,4,1,0,False,Employed,Asset Management/Investment Firm,Early/Mid-Level,True
9385178,Male,35.0,France,True,2024,2025,Regular,True,4,2,0,False,Employed,Asset Management/Investment Firm,Senior-Level,False
9391336,Male,32.0,France,True,2022,2023,Regular,False,3,2,1,False,Employed,Asset Management/Investment Firm,Early/Mid-Level,True
9400781,Male,27.0,France,True,2024,2024,Regular,False,4,1,1,False,Employed,Investment Bank,Early/Mid-Level,True
9411394,Female,33.0,France,True,2023,2024,Regular,True,3,2,0,False,Employed,Asset Management/Investment Firm,Senior-Level,True
9429009,Male,31.0,France,True,2024,2025,Regular,True,4,2,0,False,Employed,Information Technology or Software,Mid-Level,False
9430505,Male,32.0,France,True,2023,2025,Regular,True,4,3,0,False,Employed,Other (please specify),Early/Mid-Level,False
9459279,Male,31.0,France,True,2023,2025,Regular,True,3,3,0,False,Employed,Investment Bank,Early/Mid-Level,False
9589178,Male,24.0,France,True,2024,2024,Regular,True,3,1,0,False,Employed,Asset Management/Investment Firm,Early/Mid-Level,True
9596160,Male,28.0,France,True,2024,2025,Candidate,True,2,2,0,False,Employed,Government or Regulator,Early/Mid-Level,False
9507703,Male,28.0,France,True,2023,2025,Regular,True,3,3,0,False,Employed,Asset Management/Investment Firm,Early/Mid-Level,False
9508627,Male,33.0,France,True,2022,2023,Regular,False,2,2,1,False,Employed,Asset Management/Investment Firm,Senior-Level,True
9511119,Male,41.0,France,True,2022,2025,Regular,True,2,4,0,False,Employed,Asset Management/Investment Firm,Senior-Level,False
9512719,Female,25.0,France,True,2024,2025,Regular,True,3,2,0,False,Employed,"Utilities (e.g., Oil and Gas, Energy)",Early/Mid-Level,False
9512905,Male,27.0,France,True,2024,2025,Regular,True,4,2,0,False,Employed,Asset Management/Investment Firm,Senior-Level,False
9517005,Female,28.0,France,True,2023,2025,Regular,True,3,3,0,False,Employed,Investment Bank,Early/Mid-Level,False
9521619,Male,30.0,France,True,2023,2025,Regular,True,3,3,0,False,Employed,Investment Bank,Mid-Level,False
9541967,Female,30.0,France,True,2024,2024,Regular,False,3,1,1,False,Employed,Manufacturing,Senior-Level,True
7401590,Male,27.0,France,True,2024,2025,Regular,True,4,2,0,False,Employed,Consulting Firm,Mid-Level,False
9550082,Male,36.0,France,True,2024,2025,Regular,True,3,2,0,False,Employed,Government or Regulator,Senior-Level,False
9550633,Male,26.0,France,True,2024,2025,Regular,True,4,2,0,False,Employed,Asset Management/Investment Firm,Early/Mid-Level,False
9553130,Male,28.0,France,True,2023,2025,Regular,True,3,3,0,False,Employed,Consulting Firm,Senior-Level,False
9558513,Male,26.0,France,True,2023,2024,Regular,True,3,2,0,False,Employed,Other (please specify),Early/Mid-Level,True
9617344,Male,29.0,France,True,2023,2025,Regular,True,3,3,0,False,Self-employed,Other (please specify),Senior-Level,False
9629652,Male,33.0,France,True,2024,2025,Regular,True,3,2,3,False,Employed,Government or Regulator,Senior-Level,False
9638243,Female,31.0,France,True,2024,2025,Regular,True,3,2,0,False,Employed,Brokerage,Early/Mid-Level,False
9647710,Male,51.0,France,True,2024,2024,Regular,True,3,1,0,False,Employed,Information Technology or Software,Senior-Level,True
9652771,Female,36.0,France,True,2023,2023,Non-member,False,2,1,0,False,Employed,Other (please specify),Senior-Level,True
9667398,Male,42.0,France,True,2024,2025,Regular,True,3,2,0,False,Employed,"Utilities (e.g., Oil and Gas, Energy)",Early/Mid-Level,False
9681902,Male,31.0,France,True,2023,2025,Regular,True,3,3,0,False,Employed,Commercial Bank,Mid-Level,False
9694942,Male,28.0,France,True,2024,2025,Regular,True,3,2,2,False,Employed,Asset Management/Investment Firm,Senior-Level,False
9705526,Male,40.0,France,True,2023,2025,Regular,True,3,3,0,False,Employed,Consulting Firm,Senior-Level,False
9714514,Male,35.0,France,True,2023,2024,Regular,True,3,2,0,False,Employed,Investment Bank,Senior-Level,True
9743465,Male,30.0,France,True,2023,2025,Regular,True,3,3,0,False,Employed,Investment Bank,Early/Mid-Level,False
9764113,Male,29.0,France,True,2023,2025,Regular,True,3,3,0,False,Employed,Asset Management/Investment Firm,Senior-Level,False
9765796,Male,30.0,France,True,2022,2024,Regular,True,6,3,0,False,Employed,Consulting Firm,Mid-Level,True
9766839,Male,32.0,France,True,2023,2025,Regular,True,3,3,0,False,Employed,Insurance,Senior-Level,False
9820100,Male,29.0,France,True,2024,2025,Regular,True,3,2,0,False,Employed,Asset Management/Investment Firm,Mid-Level,False
200062867,Male,32.0,France,True,2024,2025,Candidate,True,1,2,0,False,Employed,Asset Management/Investment Firm,Senior-Level,False
200081197,Male,35.0,France,True,2023,2025,Regular,True,2,3,0,False,Employed,Asset Management/Investment Firm,C-Suite,False
200095245,Male,28.0,France,True,2024,2024,Regular,True,2,1,0,False,Employed,Other (please specify),Mid-Level,True
200097083,Male,40.0,Middle East,False,2021,2024,Candidate,False,0,4,3,False,Employed,Information Technology or Software,C-Suite,True
200125504,Male,47.0,France,True,2024,2025,Regular,True,2,2,0,False,Employed,Asset Management/Investment Firm,Senior-Level,False
200152670,Male,31.0,France,True,2024,2025,Regular,True,2,2,0,False,Employed,Other (please specify),Mid-Level,False
200168244,Female,27.0,France,True,2024,2025,Regular,True,2,2,0,False,Employed,Asset Management/Investment Firm,Senior-Level,False
200235239,Male,31.0,North America,False,2023,2024,Regular,False,2,2,3,False,Employed,Commercial Bank,Entry-Level,True
200261561,Male,40.0,France,True,2022,2025,Candidate,True,0,4,0,False,Employed,University/Educational Institution,Senior-Level,False
200294611,Male,29.0,France,True,2024,2025,Regular,True,2,2,0,False,Employed,Insurance,Senior-Level,False
200427336,Female,37.0,Asia-Pacific,False,2023,2023,Candidate,False,1,1,1,False,Employed,Government or Regulator,Early/Mid-Level,True
200528228,Female,40.0,France,True,2023,2025,Affiliate,True,0,3,0,False,Self-employed,Private Wealth Management Firm/Family Office/Trusts,Executive-Level,False
8623899,Male,33.0,France,True,2019,2022,Non-member,False,3,4,0,False,Employed,Asset Management/Investment Firm,Early/Mid-Level,True
471114,Male,44.0,France,True,2017,2017,Non-member,False,9,1,0,False,Employed,Other (please specify),Mid-Level,True
8625636,Female,29.0,France,True,2023,2025,Regular,True,7,3,0,False,Employed,Commercial Bank,Mid-Level,False
8626710,Male,30.0,France,True,2023,2025,Regular,True,4,3,0,False,Employed,Asset Management/Investment Firm,Mid-Level,False
6540990,Male,39.0,France,True,2012,2018,Non-member,False,1,7,0,False,Employed,Other (please specify),Early/Mid-Level,True
6091051,Male,40.0,France,True,2011,2019,Non-member,False,4,9,1,False,Employed,Brokerage,Early/Mid-Level,True
7135497,Male,33.0,France,True,2017,2023,Regular,False,3,7,3,False,Employed,Consulting Firm,Senior-Level,True
6136680,Male,41.0,France,True,2011,2025,Regular,True,4,15,0,False,Employed,Commercial Bank,C-Suite,False
7117919,Male,34.0,Europe excl France,False,2021,2025,Regular,True,2,5,0,False,Employed,Commercial Bank,Mid-Level,False
2268397,Female,41.0,France,True,2010,2011,Regular,False,4,2,0,False,Employed,Private Wealth Management Firm/Family Office/Trusts,Senior-Level,True
6644882,Male,38.0,France,True,2019,2022,Regular,False,6,4,1,False,Employed,Other (please specify),Early/Mid-Level,True
413604,Male,49.0,Latin America,False,2019,2025,Regular,True,1,7,0,False,Employed,Asset Management/Investment Firm,C-Suite,False
6276080,Male,49.0,France,True,2017,2024,Regular,True,3,8,0,False,Employed,Asset Management/Investment Firm,Senior-Level,True
6580447,Female,35.0,France,True,2022,2025,Regular,True,6,4,0,False,Employed,Investment Bank,Early/Mid-Level,False
8631626,Male,30.0,France,True,2022,2025,Regular,True,4,4,0,False,Employed,Investment Bank,Early/Mid-Level,False
8632609,Male,38.0,France,True,2019,2022,Non-member,False,2,4,0,False,Employed,Asset Management/Investment Firm,Senior-Level,True
8709926,Female,38.0,France,True,2021,2024,Regular,True,4,4,0,False,Employed,Commercial Bank,Senior-Level,True
8709967,Male,40.0,France,True,2021,2025,Regular,True,4,5,0,False,Employed,Manufacturing,Senior-Level,False
7185319,Male,36.0,France,True,2019,2025,Regular,True,5,7,0,False,Employed,Asset Management/Investment Firm,Senior-Level,False
8415242,Female,33.0,France,True,2023,2025,Regular,True,6,3,0,False,Employed,Asset Management/Investment Firm,Early/Mid-Level,False
6147523,Female,40.0,France,True,2015,2015,Non-member,False,7,1,0,False,Employed,Commercial Bank,Senior-Level,True
7154201,Male,35.0,France,True,2020,2023,Non-member,False,3,4,0,False,Employed,Asset Management/Investment Firm,Early/Mid-Level,True
7327476,Male,32.0,France,True,2022,2025,Regular,True,7,4,0,False,Employed,Asset Management/Investment Firm,Senior-Level,False
8712652,Male,33.0,France,True,2021,2025,Regular,True,4,5,0,True,Unemployed,Other (please specify),Other,False
6787550,Female,38.0,France,True,2017,2021,Regular,False,3,5,1,False,Employed,Asset Management/Investment Firm,Senior-Level,True
6246931,Female,38.0,France,True,2019,2025,Regular,True,1,7,0,False,Employed,Information Technology or Software,Senior-Level,False
6346517,Male,41.0,France,True,2017,2018,Regular,False,6,2,3,False,Employed,Consulting Firm,Senior-Level,True
6279450,Female,39.0,North Africa,False,2014,2018,Non-member,False,1,5,0,False,Employed,Other (please specify),Early/Mid-Level,True
398074,Male,42.0,France,True,2018,2021,Regular,False,1,4,1,False,Employed,Credit Rating Agency/Firm/Bureau,Senior-Level,True
6462818,Female,37.0,France,True,2020,2025,Regular,True,6,6,0,False,Employed,Investment Bank,Early/Mid-Level,False
335091,Male,47.0,France,True,2006,2009,Regular,False,1,4,0,False,Employed,Asset Management/Investment Firm,Senior-Level,True
8636667,Male,33.0,France,True,2023,2025,Regular,True,6,3,0,False,Employed,Pension Fund,Executive-Level,False
8637061,Male,37.0,France,True,2021,2025,Regular,True,5,5,0,False,Employed,Asset Management/Investment Firm,Senior-Level,False
6078508,Female,40.0,France,True,2017,2019,Non-member,False,2,3,0,False,Employed,Other (please specify),Other,True
6696716,Male,37.0,France,True,2022,2025,Regular,True,9,4,0,False,Employed,Asset Management/Investment Firm,Senior-Level,False
177055,Male,49.0,France,True,2005,2023,Non-member,False,4,19,0,False,Employed,Investment Bank,Executive-Level,True
7142923,Male,31.0,France,True,2021,2025,Regular,True,4,5,0,False,Employed,Asset Management/Investment Firm,Senior-Level,False
6986859,Male,41.0,France,True,2015,2021,Regular,False,2,7,1,False,Employed,Investment Bank,Senior-Level,True
8426391,Male,32.0,France,True,2021,2024,Regular,False,5,4,1,False,Employed,Asset Management/Investment Firm,Early/Mid-Level,True
8642570,Male,38.0,France,True,2019,2025,Regular,True,2,7,0,False,Self-employed,Consulting Firm,Mid-Level,False
2274733,Male,42.0,France,True,2011,2022,Non-member,False,4,12,0,False,Employed,Asset Management/Investment Firm,Senior-Level,True
6347496,Male,40.0,France,True,2013,2022,Non-member,False,4,10,0,False,Employed,Brokerage,Early/Mid-Level,True
7172606,Male,35.0,Europe excl France,False,2021,2022,Non-member,False,4,2,3,False,Self-employed,Asset Management/Investment Firm,Senior-Level,True
6491316,Male,39.0,North Africa,False,2017,2018,Non-member,False,4,2,0,False,Employed,Other (please specify),Senior-Level,True
8644533,Male,33.0,France,True,2023,2025,Regular,True,6,3,0,False,Employed,Insurance,Early/Mid-Level,False
8512554,Female,33.0,Europe excl France,False,2022,2025,Regular,True,5,4,3,False,Employed,Asset Management/Investment Firm,Mid-Level,False
6971771,Male,35.0,France,True,2018,2020,Non-member,False,3,3,0,False,Employed,Asset Management/Investment Firm,Early/Mid-Level,True
6498364,Male,36.0,France,True,2021,2025,Regular,True,10,5,0,False,Employed,Asset Management/Investment Firm,Senior-Level,False
2259728,Male,41.0,France,True,2010,2015,Non-member,False,3,6,0,False,Employed,Other (please specify),Early/Mid-Level,True
6730766,Female,34.0,France,True,2017,2024,Regular,True,3,8,0,False,Employed,Asset Management/Investment Firm,Senior-Level,True
6894788,Male,46.0,North Africa,False,2018,2019,Non-member,False,1,2,0,False,Employed,Government or Regulator,Senior-Level,True
6227155,Male,42.0,France,True,2017,2025,Regular,True,4,9,0,False,Employed,Asset Management/Investment Firm,Senior-Level,False
8576192,Male,29.0,Europe excl France,False,2021,2022,Regular,False,4,2,3,False,Employed,Brokerage,Senior-Level,True
8649487,Male,39.0,France,True,2023,2025,Regular,True,6,3,0,False,Employed,Insurance,Executive-Level,False
6985665,Male,33.0,France,True,2017,2025,Regular,True,4,9,0,False,Employed,Asset Management/Investment Firm,Senior-Level,False
6715090,Male,40.0,France,True,2014,2016,Regular,False,3,3,0,True,Unemployed,Other (please specify),Other,True
8651469,Male,33.0,France,True,2019,2025,Regular,True,2,7,0,False,Employed,Asset Management/Investment Firm,Senior-Level,False
6716597,Male,39.0,France,True,2021,2025,Regular,True,4,5,0,False,Employed,Asset Management/Investment Firm,C-Suite,False
6863494,Female,34.0,France,True,2017,2025,Regular,True,5,9,0,False,Employed,Asset Management/Investment Firm,Senior-Level,False
8651953,Male,30.0,France,True,2021,2022,Regular,False,4,2,1,False,Employed,Other (please specify),Other,True
6873989,Male,33.0,France,True,2017,2023,Non-member,False,2,7,0,False,Employed,Other (please specify),Senior-Level,True
7186126,Male,37.0,France,True,2017,2018,Non-member,False,2,2,0,False,Employed,Other (please specify),Other,True
7115576,Male,34.0,France,True,2017,2025,Regular,True,3,9,0,False,Employed,Asset Management/Investment Firm,Senior-Level,False
6269239,Female,40.0,France,True,2012,2025,Regular,True,4,14,0,False,Employed,Commercial Bank,Executive-Level,False
6149420,Male,42.0,Middle East,False,2014,2021,Regular,False,1,8,3,False,Employed,Private Wealth Management Firm/Family Office/Trusts,Executive-Level,True
8654941,Male,33.0,United Kingdom,False,2021,2024,Regular,True,2,4,0,False,Employed,Asset Management/Investment Firm,Early/Mid-Level,True
6760879,Male,34.0,France,True,2017,2020,Regular,False,5,4,1,False,Employed,Brokerage,Early/Mid-Level,True
6860284,Male,34.0,France,True,2022,2024,Regular,False,10,3,1,False,Employed,Asset Management/Investment Firm,Senior-Level,True
6904676,Female,32.0,France,True,2021,2025,Regular,True,5,5,0,False,Employed,Investment Bank,Mid-Level,False
8659942,Male,33.0,France,True,2019,2024,Regular,True,1,6,0,False,Employed,Investment Bank,Mid-Level,True
8661626,Male,32.0,France,True,2021,2024,Regular,True,4,4,0,False,Employed,Asset Management/Investment Firm,Early/Mid-Level,True
8662996,Male,32.0,France,True,2019,2021,Regular,False,1,3,1,False,Employed,Asset Management/Investment Firm,Senior-Level,True
8663013,Male,34.0,France,True,2023,2023,Regular,False,6,1,1,False,Employed,Asset Management/Investment Firm,Senior-Level,True
800903,Male,52.0,France,True,2004,2024,Regular,True,6,21,0,False,Employed,Asset Management/Investment Firm,Senior-Level,True
6108297,Female,39.0,France,True,2021,2022,Non-member,False,14,2,0,False,Employed,University/Educational Institution,Senior-Level,True
8386111,Male,34.0,France,True,2021,2022,Non-member,False,6,2,0,False,Employed,Other (please specify),Early/Mid-Level,True
8293763,Male,29.0,France,True,2021,2022,Non-member,False,6,2,0,False,Employed,Other (please specify),Entry-Level,True
6865196,Female,34.0,France,True,2021,2024,Regular,True,9,4,0,False,Employed,Information Technology or Software,Senior-Level,True
6166332,Male,44.0,France,True,2019,2021,Regular,False,6,3,3,False,Employed,Asset Management/Investment Firm,Senior-Level,True
6384351,Male,44.0,France,True,2014,2019,Regular,False,5,6,1,False,Employed,Asset Management/Investment Firm,Senior-Level,True
8429903,Male,40.0,North Africa,False,2019,2023,Regular,False,3,5,1,False,Employed,Asset Management/Investment Firm,Executive-Level,True
875144,Female,55.0,France,True,2002,2022,Regular,False,4,21,1,True,Employed,Consulting Firm,Executive-Level,True
8234415,Male,34.0,France,True,2021,2025,Regular,True,4,5,0,False,Employed,Information Technology or Software,Early/Mid-Level,False
656867,Male,60.0,France,True,2002,2019,Non-member,False,1,18,0,False,Employed,Other (please specify),C-Suite,True
6861134,Male,36.0,France,True,2017,2025,Regular,True,5,9,0,False,Employed,Asset Management/Investment Firm,Mid-Level,False
8667075,Male,40.0,France,True,2019,2025,Regular,True,2,7,0,False,Employed,Asset Management/Investment Firm,Senior-Level,False
6611872,Female,36.0,France,True,2017,2025,Regular,True,6,9,0,False,Employed,Brokerage,Early/Mid-Level,False
7014291,Male,35.0,France,True,2017,2025,Regular,True,4,9,0,False,Employed,Asset Management/Investment Firm,Early/Mid-Level,False
2252180,Male,44.0,France,True,2010,2023,Non-member,False,1,14,0,False,Employed,Asset Management/Investment Firm,Senior-Level,True
7183248,Male,39.0,France,True,2021,2025,Regular,True,7,5,0,True,Self-employed,Consulting Firm,C-Suite,False
8668773,Male,31.0,France,True,2021,2024,Regular,True,2,4,0,False,Employed,Private Wealth Management Firm/Family Office/Trusts,Senior-Level,True
6576031,Male,40.0,France,True,2016,2018,Regular,False,7,3,0,True,Self-employed,Asset Management/Investment Firm,Mid-Level,True
8669927,Male,35.0,France,True,2022,2025,Regular,True,5,4,0,False,Employed,Asset Management/Investment Firm,Executive-Level,False
8669996,Male,31.0,France,True,2022,2023,Regular,False,5,2,1,False,Employed,Consulting Firm,Mid-Level,True
7026472,Male,34.0,France,True,2017,2025,Regular,True,4,9,0,False,Employed,Asset Management/Investment Firm,Senior-Level,False
6894574,Female,42.0,France,True,2017,2023,Regular,False,4,7,1,False,Self-employed,Consulting Firm,Other,True
6258634,Female,43.0,France,True,2011,2024,Regular,True,1,14,0,False,Employed,Insurance,Senior-Level,True
7193639,Male,32.0,Europe excl France,False,2023,2023,Regular,False,5,1,3,False,Employed,Asset Management/Investment Firm,Early/Mid-Level,True
8672093,Male,32.0,France,True,2020,2022,Regular,False,4,3,1,False,Employed,Other (please specify),Senior-Level,True
6633087,Male,35.0,France,True,2017,2025,Regular,True,6,9,0,False,Employed,Asset Management/Investment Firm,Senior-Level,False
6785785,Male,36.0,France,True,2017,2025,Regular,True,6,9,0,False,Employed,Asset Management/Investment Firm,Mid-Level,False
8527503,Male,31.0,France,True,2022,2025,Regular,True,5,4,0,False,Employed,Other (please specify),Early/Mid-Level,False
8676040,Male,30.0,France,True,2022,2025,Regular,True,5,4,0,False,Employed,Investment Bank,Mid-Level,False
8677513,Female,36.0,France,True,2020,2024,Candidate,True,0,5,0,False,Employed,Private Wealth Management Firm/Family Office/Trusts,C-Suite,True
8677959,Female,30.0,France,True,2022,2025,Regular,True,4,4,0,False,Employed,Asset Management/Investment Firm,Mid-Level,False
8678123,Male,32.0,France,True,2022,2025,Regular,True,5,4,0,False,Employed,Asset Management/Investment Firm,Senior-Level,False
6557283,Male,40.0,France,True,2013,2018,Non-member,False,5,6,0,False,Employed,Other (please specify),Early/Mid-Level,True
8230952,Male,32.0,France,True,2024,2025,Regular,True,9,2,0,False,Employed,Asset Management/Investment Firm,Senior-Level,False
6747775,Male,34.0,France,True,2017,2018,Non-member,False,3,2,0,False,Employed,Other (please specify),Early/Mid-Level,True
6996348,Female,32.0,France,True,2022,2023,Non-member,False,9,2,0,False,Student,Other (please specify),Other,True
8683034,Male,29.0,France,True,2023,2025,Regular,True,6,3,0,False,Employed,Asset Management/Investment Firm,Senior-Level,False
7348620,Male,35.0,France,True,2021,2022,Non-member,False,5,2,0,False,Employed,Other (please specify),Early/Mid-Level,True
7157526,Male,31.0,France,True,2021,2025,Regular,True,7,5,0,False,Employed,"Utilities (e.g., Oil and Gas, Energy)",Senior-Level,False
8364110,Male,33.0,France,True,2019,2023,Non-member,False,4,5,0,False,Employed,Consulting Firm,Mid-Level,True
8683725,Male,34.0,France,True,2021,2023,Regular,False,4,3,1,False,Employed,Information Technology or Software,Senior-Level,True
8436828,Male,51.0,France,True,2024,2025,Regular,True,8,2,0,False,Employed,Asset Management/Investment Firm,Senior-Level,False
8509864,Male,36.0,France,True,2022,2025,Regular,True,5,4,0,False,Employed,Investment Bank,Early/Mid-Level,False
8290859,Male,35.0,France,True,2022,2025,Regular,True,6,4,0,False,Employed,Asset Management/Investment Firm,Entry-Level,False
8448271,Male,33.0,France,True,2019,2020,Non-member,False,3,2,0,False,Employed,Asset Management/Investment Firm,Early/Mid-Level,True
378447,Male,53.0,France,True,2006,2012,Non-member,False,1,7,0,False,Employed,Other (please specify),Senior-Level,True
8319720,Male,33.0,France,True,2020,2025,Regular,True,1,6,0,False,Employed,Investment Bank,Mid-Level,False
451250,Female,43.0,United Kingdom,False,2009,2025,Regular,True,4,17,0,False,Employed,Asset Management/Investment Firm,Executive-Level,False
7056255,Male,34.0,France,True,2020,2025,Regular,True,5,6,0,False,Employed,Asset Management/Investment Firm,Early/Mid-Level,False
838060,Male,61.0,France,True,2002,2020,Non-member,False,1,19,0,False,Employed,Asset Management/Investment Firm,Executive-Level,True
8544179,Male,30.0,France,True,2024,2025,Regular,True,6,2,2,False,Employed,Consulting Firm,Senior-Level,False
8552836,Female,32.0,France,True,2022,2022,Non-member,False,4,1,0,False,Employed,Investment Bank,Early/Mid-Level,True
8692483,Female,30.0,France,True,2021,2023,Regular,False,4,3,1,False,Employed,Investment Bank,Senior-Level,True
8365153,Male,31.0,France,True,2019,2022,Non-member,False,1,4,0,False,Employed,Insurance,Mid-Level,True
8693421,Male,36.0,France,True,2019,2022,Regular,False,1,4,1,False,Employed,Private Wealth Management Firm/Family Office/Trusts,Early/Mid-Level,True
8693707,Female,39.0,France,True,2019,2021,Non-member,False,6,3,0,False,Employed,Other (please specify),Senior-Level,True
7083270,Male,41.0,France,True,2017,2025,Regular,True,2,9,0,False,Employed,Asset Management/Investment Firm,Early/Mid-Level,False
6128623,Male,42.0,France,True,2013,2014,Regular,False,1,2,0,False,Employed,Asset Management/Investment Firm,Executive-Level,True
8697785,Male,32.0,France,True,2020,2023,Non-member,False,2,4,0,False,Employed,Other (please specify),Senior-Level,True
7109947,Female,37.0,France,True,2018,2025,Regular,True,5,8,0,False,Employed,Asset Management/Investment Firm,Senior-Level,False
6970590,Female,34.0,France,True,2018,2022,Non-member,False,5,5,0,False,Employed,Information Technology or Software,Other,True
8699167,Female,36.0,France,True,2021,2022,Regular,False,2,2,1,False,Employed,Investment Bank,Early/Mid-Level,True
8699875,Male,31.0,France,True,2023,2024,Regular,True,6,2,0,False,Employed,Investment Bank,Early/Mid-Level,True
8704435,Male,35.0,Sub-Saharan Africa,False,2022,2025,Regular,True,4,4,0,False,Employed,Securities Exchange,Senior-Level,False
8706889,Female,34.0,France,True,2022,2025,Regular,True,5,4,0,False,Employed,Asset Management/Investment Firm,Entry-Level,False
8708217,Male,34.0,France,True,2021,2023,Regular,False,4,3,1,False,Employed,Asset Management/Investment Firm,Senior-Level,True
6784687,Male,37.0,France,True,2023,2025,Regular,True,6,3,0,False,Employed,Asset Management/Investment Firm,Mid-Level,False
